assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000009005.1	PRJNA224116	SAMEA3138186			na		273036	1280	Staphylococcus aureus RF122	strain=RF122		latest	Complete Genome	Major	Full	2005/11/24	ASM900v1	Univ. Minnesota	GCA_000009005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/005/GCF_000009005.1_ASM900v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000009005.1/GCF_000009005.1_ASM900v1_genomic.gbff.gz
GCF_000009585.1	PRJNA224116	SAMEA2272644			na		523796	1280	Staphylococcus aureus subsp. aureus ST398	strain=type strain:ST398	S0385	latest	Complete Genome	Major	Full	2010/01/07	ASM958v1	University Medical Centre Utrecht	GCA_000009585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/585/GCF_000009585.1_ASM958v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000009585.1/GCF_000009585.1_ASM958v1_genomic.gbff.gz
GCF_000009645.1	PRJNA224116	SAMD00061099			na		158879	1280	Staphylococcus aureus subsp. aureus N315	strain=N315		latest	Complete Genome	Major	Full	2004/05/11	ASM964v1	Juntendo Univ.	GCA_000009645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/645/GCF_000009645.1_ASM964v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000009645.1/GCF_000009645.1_ASM964v1_genomic.gbff.gz
GCF_000009665.1	PRJNA224116	SAMD00061098			na		158878	1280	Staphylococcus aureus subsp. aureus Mu50	strain=Mu50		latest	Complete Genome	Major	Full	2004/05/14	ASM966v1	Juntendo Univ.	GCA_000009665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/665/GCF_000009665.1_ASM966v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000009665.1/GCF_000009665.1_ASM966v1_genomic.gbff.gz
GCF_000010445.1	PRJNA224116	SAMD00060910			na		418127	1280	Staphylococcus aureus subsp. aureus Mu3	strain=Mu3		latest	Complete Genome	Major	Full	2007/09/03	ASM1044v1	Juntendo Universit	GCA_000010445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/445/GCF_000010445.1_ASM1044v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000010445.1/GCF_000010445.1_ASM1044v1_genomic.gbff.gz
GCF_000010465.1	PRJNA224116	SAMD00060913			na		426430	1280	Staphylococcus aureus subsp. aureus str. Newman	strain=Newman		latest	Complete Genome	Major	Full	2007/07/02	ASM1046v1	Juntendo University School of Medicine, Department of Bacteriology	GCA_000010465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/465/GCF_000010465.1_ASM1046v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000010465.1/GCF_000010465.1_ASM1046v1_genomic.gbff.gz
GCF_000011265.1	PRJNA224116	SAMD00061104			na		196620	1280	Staphylococcus aureus subsp. aureus MW2	strain=MW2		latest	Complete Genome	Major	Full	2004/05/11	ASM1126v1	NITE	GCA_000011265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/265/GCF_000011265.1_ASM1126v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000011265.1/GCF_000011265.1_ASM1126v1_genomic.gbff.gz
GCF_000011505.1	PRJNA224116	SAMEA1705935			na		282458	1280	Staphylococcus aureus subsp. aureus MRSA252	strain=MRSA252		latest	Complete Genome	Major	Full	2004/06/25	ASM1150v1	Sanger Institute	GCA_000011505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/505/GCF_000011505.1_ASM1150v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000011505.1/GCF_000011505.1_ASM1150v1_genomic.gbff.gz
GCF_000011525.1	PRJNA224116	SAMEA1705922			na		282459	1280	Staphylococcus aureus subsp. aureus MSSA476	strain=MSSA476		latest	Complete Genome	Major	Full	2004/06/25	ASM1152v1	Sanger Institute	GCA_000011525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/525/GCF_000011525.1_ASM1152v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000011525.1/GCF_000011525.1_ASM1152v1_genomic.gbff.gz
GCF_000012045.1	PRJNA224116	SAMN02603996			na		93062	1280	Staphylococcus aureus subsp. aureus COL	strain=COL		latest	Complete Genome	Major	Full	2005/05/27	ASM1204v1	TIGR	GCA_000012045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/045/GCF_000012045.1_ASM1204v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000012045.1/GCF_000012045.1_ASM1204v1_genomic.gbff.gz
